geoid,Region,State,age,season,MMWR Year/Week,Deaths from pneumonia and influenza,All Deaths
National,,,All,2015-16,201623,3153,49490
National,,,All,2015-16,201624,2895,49480
National,,,All,2015-16,201625,2816,48959
National,,,All,2015-16,201626,2838,48671
National,,,All,2015-16,201627,2802,48350
National,,,All,2015-16,201628,2843,48248
National,,,All,2015-16,201629,2671,47912
National,,,All,2015-16,201630,2701,48150
National,,,All,2015-16,201631,2674,47352
National,,,All,2015-16,201632,2622,47192
National,,,All,2015-16,201633,2611,46729
National,,,All,2015-16,201634,2462,44990
National,,,All,2015-16,201635,2284,41796
National,,,All,2015-16,201636,2152,40596
National,,,All,2015-16,201637,2470,41867
National,,,All,2015-16,201638,2406,42252
National,,,All,2015-16,201639,2350,42690
National,,,All,2016-17,201640,2380,43447
National,,,All,2016-17,201641,2505,43689
National,,,All,2016-17,201642,2397,42015
National,,,All,2016-17,201643,2332,41094
National,,,All,2016-17,201644,2196,38915
National,,,All,2016-17,201645,2100,37848
National,,,All,2016-17,201646,2069,37698
National,,,All,2016-17,201647,2077,36431
National,,,All,2016-17,201648,2187,36346
National,,,All,2016-17,201649,2055,33680
National,,,All,2016-17,201650,1787,28251
National,,,0-17 years,2009-10,200940,55,803
National,,,18-64 years,2009-10,200940,763,12383
National,,,65 years and older,2009-10,200940,2823,33328
National,,,0-17 years,2009-10,200941,41,803
National,,,18-64 years,2009-10,200941,862,12216
National,,,65 years and older,2009-10,200941,2988,33554
National,,,0-17 years,2009-10,200942,56,782
National,,,18-64 years,2009-10,200942,878,12429
National,,,65 years and older,2009-10,200942,3154,34363
National,,,0-17 years,2009-10,200943,48,751
National,,,18-64 years,2009-10,200943,948,12030
National,,,65 years and older,2009-10,200943,3074,33787
National,,,0-17 years,2009-10,200944,63,756
National,,,18-64 years,2009-10,200944,976,12781
National,,,65 years and older,2009-10,200944,3126,33916
National,,,0-17 years,2009-10,200945,37,811
National,,,18-64 years,2009-10,200945,1024,12553
National,,,65 years and older,2009-10,200945,3143,34058
National,,,0-17 years,2009-10,200946,36,753
National,,,18-64 years,2009-10,200946,868,12410
National,,,65 years and older,2009-10,200946,3033,33459
National,,,0-17 years,2009-10,200947,29,730
National,,,18-64 years,2009-10,200947,836,12009
National,,,65 years and older,2009-10,200947,2976,33780
National,,,0-17 years,2009-10,200948,26,726
National,,,18-64 years,2009-10,200948,765,12439
National,,,65 years and older,2009-10,200948,3121,34733
National,,,0-17 years,2009-10,200949,22,704
National,,,18-64 years,2009-10,200949,768,12745
National,,,65 years and older,2009-10,200949,3299,35933
National,,,0-17 years,2009-10,200950,22,721
National,,,18-64 years,2009-10,200950,754,12441
National,,,65 years and older,2009-10,200950,3307,36045
National,,,0-17 years,2009-10,200951,33,726
National,,,18-64 years,2009-10,200951,682,12278
National,,,65 years and older,2009-10,200951,3190,36199
National,,,0-17 years,2009-10,200952,35,763
National,,,18-64 years,2009-10,200952,766,12412
National,,,65 years and older,2009-10,200952,3571,36653
National,,,0-17 years,2009-10,201001,28,774
National,,,18-64 years,2009-10,201001,760,12915
National,,,65 years and older,2009-10,201001,3713,37784
National,,,0-17 years,2009-10,201002,35,804
National,,,18-64 years,2009-10,201002,745,12378
National,,,65 years and older,2009-10,201002,3753,38269
National,,,0-17 years,2009-10,201003,22,746
National,,,18-64 years,2009-10,201003,733,12278
National,,,65 years and older,2009-10,201003,3596,36967
National,,,0-17 years,2009-10,201004,24,696
National,,,18-64 years,2009-10,201004,684,11906
National,,,65 years and older,2009-10,201004,3402,35902
National,,,0-17 years,2009-10,201005,24,681
National,,,18-64 years,2009-10,201005,677,12299
National,,,65 years and older,2009-10,201005,3414,36142
National,,,0-17 years,2009-10,201006,29,744
National,,,18-64 years,2009-10,201006,717,12371
National,,,65 years and older,2009-10,201006,3424,37066
National,,,0-17 years,2009-10,201007,39,731
National,,,18-64 years,2009-10,201007,673,12557
National,,,65 years and older,2009-10,201007,3550,37239
